General Logger: 	2026/03/15 09:26:27 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 09:26:27 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:27:35 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 09:27:35 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:28:17 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:30:21 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:30:32 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:31:30 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:32:56 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:34:29 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:34:37 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:41:31 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:42:31 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:42:55 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 09:49:40 response.go:9: Data recebido: pong
